Joint,OutputCase,CaseType,StepType,StepNum,U1,U2,U3,R1,R2,R3
,,,,,ft,ft,ft,Radians,Radians,Radians
1,MODAL,LinModal,Mode,1,0,0,0,0.565604,5.16E-17,1.03E-13
1,MODAL,LinModal,Mode,2,0,0,0,-0.841335,6.76E-18,-0.404545
1,MODAL,LinModal,Mode,3,0,0,0,-0.721041,5.00E-17,0.04902
1,MODAL,LinModal,Mode,4,0,0,0,-9.03E-17,0.582996,-8.85E-17
1,MODAL,LinModal,Mode,5,0,0,0,1.009817,5.17E-16,0.674481
1,MODAL,LinModal,Mode,6,0,0,0,5.03E-15,-0.80581,7.12E-15
1,MODAL,LinModal,Mode,7,0,0,0,0.125292,3.09E-14,-0.544531
1,MODAL,LinModal,Mode,8,0,0,0,-0.966937,2.83E-12,-0.77902
1,MODAL,LinModal,Mode,9,0,0,0,0.053783,1.02E-10,-0.806167
1,MODAL,LinModal,Mode,10,0,0,0,-8.50E-10,-0.229915,-2.00E-09
1,MODAL,LinModal,Mode,11,0,0,0,-0.87697,1.54E-09,-0.868976
1,MODAL,LinModal,Mode,12,0,0,0,0.337839,6.20E-08,-0.783103
1,LC_2,LinStatic,,,0,0,0,0,0.004943,0
1,LC_3,LinStatic,,,0,0,0,0,0.005159,0
1,LC_4,LinStatic,,,0,0,0,0,0.004831,0
1,LC_5,LinStatic,,,0,0,0,0,0.005009,0
1,LC_6,LinStatic,,,0,0,0,0,0.004718,0
1,LC_2_1450,LinStatic,,,0,0,0,0,0,0
1,LC_1_1450,LinStatic,,,0,0,0,0,0,0
1,LC_3_1450,LinStatic,,,0,0,0,0,0,0
1,LC_4_1450,LinStatic,,,0,0,0,0,0,0
1,LC_5_1450,LinStatic,,,0,0,0,0,0,0
1,LC_6_1450,LinStatic,,,0,0,0,0,0,0
1,LC_7_1450,LinStatic,,,0,0,0,0,0.003062,0
1,LC_8_1450,LinStatic,,,0,0,0,0,0.00197,0
1,LC_9_1450,LinStatic,,,0,0,0,0,0.002344,0
1,LC_10_1450,LinStatic,,,0,0,0,0,0.002163,0
1,LC_11_1450,LinStatic,,,0,0,0,0,0.002658,0
1,LC_12_1450,LinStatic,,,0,0,0,0,0.002509,0
1,LC2_2_1150,LinStatic,,,0,0,0,0,0.002018,0
1,LC2_3_1150,LinStatic,,,0,0,0,0,0.002136,0
1,LC2_4_1150,LinStatic,,,0,0,0,0,0.001744,0
1,LC2_5_1150,LinStatic,,,0,0,0,0,0.001887,0
1,LC2_6_1150,LinStatic,,,0,0,0,0,0.00159,0
1,LC2_7_1150,LinStatic,,,0,0,0,0,0.001428,0
1,LC2_8_1150,LinStatic,,,0,0,0,0,0.002509,0
1,LC2_9_1150,LinStatic,,,0,0,0,0,0.002504,0
1,LC2_10_1150,LinStatic,,,0,0,0,0,0.002477,0
1,LC2_11_1150,LinStatic,,,0,0,0,0,0.002425,0
1,LC2_12_1150,LinStatic,,,0,0,0,0,0.002121,0
1,LC_7,LinStatic,,,0,0,0,0,0.00449,0
1,LC_8,LinStatic,,,0,0,0,0,0.004479,0
1,LC_9,LinStatic,,,0,0,0,0,0.004848,0
1,LC_10,LinStatic,,,0,0,0,0,0.00464,0
1,LC_11,LinStatic,,,0,0,0,0,0.005083,0
1,LC_12,LinStatic,,,0,0,0,0,0.004631,0
1,Dead_Patter,n   LinStati,c,,0,0,0,0,0.000136,0
1,Dead_Case,LinStatic,,,0,0,0,0,0.000136,0
1,LC_2_Pre,LinStatic,,,0,0,0,0,0.00134,0
1,LC_3_Pre,LinStatic,,,0,0,0,0,0.001391,0
1,LC_4_Pre,LinStatic,,,0,0,0,0,0.001302,0
1,LC_5_Pre,LinStatic,,,0,0,0,0,0.001346,0
1,LC_6_Pre,LinStatic,,,0,0,0,0,0.00127,0
1,LC_7_Pre,LinStatic,,,0,0,0,0,0.001214,0
1,LC_8_Pre,LinStatic,,,0,0,0,0,0.00127,0
1,LC_9_Pre,LinStatic,,,0,0,0,0,0.001346,0
1,LC_10_Pre,LinStatic,,,0,0,0,0,0.001302,0
1,LC_11_Pre,LinStatic,,,0,0,0,0,0.001391,0
1,LC_12_Pre,LinStatic,,,0,0,0,0,0.00128,0
1,LCB2,Combination,,,0,0,0,0,0.003603,0
1,LCB3,Combination,,,0,0,0,0,0.003768,0
1,LCB4,Combination,,,0,0,0,0,0.00353,0
1,LCB5,Combination,,,0,0,0,0,0.003663,0
1,LCB6,Combination,,,0,0,0,0,0.003448,0
1,Envelope,Combination,Max,,0,0,0,0,0.003768,0
1,Envelope,Combination,Min,,0,0,0,0,0.003209,0
1,DEAD2,Combination,,,0,0,0,0,0.000136,0
1,LCB7,Combination,,,0,0,0,0,0.003276,0
1,LCB8,Combination,,,0,0,0,0,0.003209,0
1,LCB9,Combination,,,0,0,0,0,0.003502,0
1,LCB10,Combination,,,0,0,0,0,0.003339,0
1,LCB11,Combination,,,0,0,0,0,0.003693,0
1,LCB12,Combination,,,0,0,0,0,0.00335,0
2,MODAL,LinModal,Mode,1,5.08E-17,-0.989808,-5.96E-19,0.565604,1.56E-17,1.00E-13
2,MODAL,LinModal,Mode,2,4.58E-18,1.47786,2.02E-19,-0.848364,-1.20E-18,-0.40009
2,MODAL,LinModal,Mode,3,3.82E-17,1.217304,4.99E-20,-0.663206,0,0.013104
2,MODAL,LinModal,Mode,4,0.594879,7.08E-17,-0.001975,1.28E-17,0.161334,-1.21E-16
2,MODAL,LinModal,Mode,5,4.28E-16,-1.726307,-9.45E-18,0.955367,6.71E-17,0.707247
2,MODAL,LinModal,Mode,6,-0.528352,-8.56E-16,-0.00201,-3.82E-15,0.094618,6.70E-15
2,MODAL,LinModal,Mode,7,2.23E-14,-0.008488,3.17E-16,-0.146748,-2.06E-15,-0.369412
2,MODAL,LinModal,Mode,8,1.69E-12,1.513517,1.24E-13,-0.731625,-8.95E-13,-0.926887
2,MODAL,LinModal,Mode,9,6.23E-11,0.276978,4.22E-12,-0.418757,-2.96E-11,-0.479999
2,MODAL,LinModal,Mode,10,0.048835,6.05E-10,-0.013761,1.56E-10,0.28417,-2.07E-09
2,MODAL,LinModal,Mode,11,9.86E-10,1.221355,5.45E-11,-0.467557,-3.57E-10,-1.144153
2,MODAL,LinModal,Mode,12,3.19E-08,0.090889,4.06E-09,-0.516442,-2.96E-08,-0.15833
2,LC_2,LinStatic,,,0.008343,0,-0.000075,0,0.004954,0
2,LC_3,LinStatic,,,0.00872,0,-0.000074,0,0.005165,0
2,LC_4,LinStatic,,,0.008179,0,-0.000066,0,0.004835,0
2,LC_5,LinStatic,,,0.008491,0,-0.000066,0,0.005013,0
2,LC_6,LinStatic,,,0.008007,0,-0.00006,0,0.004722,0
2,LC_2_1450,LinStatic,,,0,0,0,0,0,0
2,LC_1_1450,LinStatic,,,0,0,0,0,0,0
2,LC_3_1450,LinStatic,,,0,0,0,0,0,0
2,LC_4_1450,LinStatic,,,0,0,0,0,0,0
2,LC_5_1450,LinStatic,,,0,0,0,0,0,0
2,LC_6_1450,LinStatic,,,0,0,0,0,0,0
2,LC_7_1450,LinStatic,,,0.005198,0,-0.000039,0,0.003065,0
2,LC_8_1450,LinStatic,,,0.003362,0,-0.000021,0,0.001971,0
2,LC_9_1450,LinStatic,,,0.003997,0,-0.000025,0,0.002346,0
2,LC_10_1450,LinStatic,,,0.003691,0,-0.000023,0,0.002165,0
2,LC_11_1450,LinStatic,,,0.004529,0,-0.00003,0,0.00266,0
2,LC_12_1450,LinStatic,,,0.004277,0,-0.000027,0,0.002511,0
2,LC2_2_1150,LinStatic,,,0.003439,0,-0.000022,0,0.00202,0
2,LC2_3_1150,LinStatic,,,0.003639,0,-0.000024,0,0.002138,0
2,LC2_4_1150,LinStatic,,,0.002975,0,-0.000019,0,0.001745,0
2,LC2_5_1150,LinStatic,,,0.003217,0,-0.00002,0,0.001888,0
2,LC2_6_1150,LinStatic,,,0.002714,0,-0.000017,0,0.001591,0
2,LC2_7_1150,LinStatic,,,0.002437,0,-0.000015,0,0.001429,0
2,LC2_8_1150,LinStatic,,,0.004246,0,-0.000035,0,0.002511,0
2,LC2_9_1150,LinStatic,,,0.004229,0,-0.000036,0,0.002506,0
2,LC2_10_1150,LinStatic,,,0.004174,0,-0.000038,0,0.002479,0
2,LC2_11_1150,LinStatic,,,0.004077,0,-0.00004,0,0.002429,0
2,LC2_12_1150,LinStatic,,,0.003522,0,-0.000045,0,0.002124,0
2,LC_7,LinStatic,,,0.007634,0,-0.000054,0,0.004494,0
2,LC_8,LinStatic,,,0.007608,0,-0.000055,0,0.004483,0
2,LC_9,LinStatic,,,0.008227,0,-0.000061,0,0.004852,0
2,LC_10,LinStatic,,,0.007866,0,-0.000061,0,0.004644,0
2,LC_11,LinStatic,,,0.008606,0,-0.00007,0,0.005089,0
2,LC_12,LinStatic,,,0.0078,0,-0.000073,0,0.004635,0
2,Dead_Patter,n   LinStati,c,,0.000228,0,-2.56E-06,0,0.000135,0
2,Dead_Case,LinStatic,,,0.000228,0,-2.56E-06,0,0.000135,0
2,LC_2_Pre,LinStatic,,,0.002261,0,-0.000021,0,0.001341,0
2,LC_3_Pre,LinStatic,,,0.00235,0,-0.000021,0,0.001392,0
2,LC_4_Pre,LinStatic,,,0.002202,0,-0.000019,0,0.001302,0
2,LC_5_Pre,LinStatic,,,0.002279,0,-0.000019,0,0.001347,0
2,LC_6_Pre,LinStatic,,,0.002152,0,-0.000017,0,0.001271,0
2,LC_7_Pre,LinStatic,,,0.00206,0,-0.000016,0,0.001214,0
2,LC_8_Pre,LinStatic,,,0.002152,0,-0.000017,0,0.001271,0
2,LC_9_Pre,LinStatic,,,0.002279,0,-0.000019,0,0.001347,0
